,name,rating,reviews,ctype,loc
0,TCS,3.3,(1.1L),IT Services & Consulting,Bengaluru +444 other locations
1,Accenture,3.7,(73.7k),IT Services & Consulting,Bengaluru +259 other locations
2,Wipro,3.6,(65.3k),IT Services & Consulting,Hyderabad +373 other locations
3,Cognizant,3.7,(61.6k),IT Services & Consulting,Hyderabad +232 other locations
4,Capgemini,3.6,(53.6k),IT Services & Consulting,Bengaluru +182 other locations
5,HDFC Bank,3.8,(52.6k),Banking,Mumbai +1853 other locations
6,Infosys,3.5,(49k),IT Services & Consulting,Bengaluru +246 other locations
7,HCLTech,3.4,(46.1k),IT Services & Consulting,Chennai +231 other locations
8,ICICI Bank,4.0,(46.1k),Banking,Mumbai +1445 other locations
9,Tech Mahindra,3.4,(43.4k),IT Services & Consulting,Hyderabad +322 other locations
10,Genpact,3.6,(42.5k),Analytics & KPO,Hyderabad +181 other locations
11,TP,3.9,(38.8k),BPO,Mumbai +256 other locations
12,Jio,4.4,(33.7k),Telecom,Mumbai +1957 other locations
13,Axis Bank,3.6,(33.4k),Banking,Mumbai +1520 other locations
14,Concentrix Corporation,3.6,(32.4k),BPO,Bengaluru +183 other locations
15,Amazon,3.9,(31.5k),Internet,Bengaluru +515 other locations
16,Reliance Retail,3.9,(27.4k),Retail,Mumbai +1161 other locations
17,iEnergizer,4.6,(27.2k),BPO,Noida +53 other locations
18,LTIMindtree,3.6,(26.5k),IT Services & Consulting,Bengaluru +145 other locations
19,IBM,3.9,(25.8k),IT Services & Consulting,Bengaluru +162 other locations
20,HDB Financial Services,3.9,(25.8k),NBFC,Mumbai +1093 other locations
21,Larsen & Toubro Limited,3.9,(24k),Engineering & Construction,Chennai +769 other locations
22,Deloitte,3.7,(23.2k),Management Consulting,Hyderabad +182 other locations
23,Kotak Mahindra Bank,3.6,(22.5k),Banking,Mumbai +691 other locations
24,Reliance Industries,4.0,(20.3k),Oil & Gas,Jamnagar +820 other locations
25,Vodafone Idea,3.9,(17.6k),Telecom,Pune +705 other locations
26,Bharti Airtel,3.8,(17.1k),Telecom,Gurugram +791 other locations
27,BYJU'S,3.2,(16.4k),EdTech,Bengaluru +321 other locations
28,WNS,3.3,(15.3k),IT Services & Consulting,Pune +66 other locations
29,IDFC FIRST Bank,3.9,(14.7k),Banking,Mumbai +731 other locations
30,Ernst & Young,3.4,(14.6k),Management Consulting,Bengaluru +134 other locations
31,IndusInd Bank,3.4,(14.3k),Banking,Mumbai +799 other locations
32,AU Small Finance Bank,3.8,(14.3k),Banking,Jaipur +803 other locations
33,Tata Motors,4.1,(14.2k),Automobile,Pune +506 other locations
34,Muthoot FinCorp,4.5,(13.2k),NBFC,Bengaluru +1121 other locations
35,Bajaj Finserv,4.0,(13.2k),NBFC,Pune +1197 other locations
36,Flipkart,3.9,(13k),Internet,Bengaluru +554 other locations
37,PwC,3.3,(12.7k),Management Consulting,Bengaluru +137 other locations
38,HDFC Life,3.8,(12.1k),Insurance,Mumbai +717 other locations
39,Mahindra & Mahindra,4.0,(12.1k),Automobile,Pune +565 other locations
40,Infosys BPM,3.5,(12.1k),BPO,Bengaluru +95 other locations
41,DXC Technology,3.6,(12k),IT Services & Consulting,Bengaluru +130 other locations
42,Bandhan Bank,3.7,(11.2k),Banking,Kolkata +1013 other locations
43,Digitide Solutions,3.5,(10.4k),IT Services & Consulting,Hyderabad +274 other locations
44,Mphasis,3.3,(10.3k),IT Services & Consulting,Bengaluru +64 other locations
45,Yes Bank,3.7,(10.2k),Banking,Mumbai +541 other locations
46,Tata Steel,4.0,(9.9k),Iron & Steel,Jamshedpur +226 other locations
47,Quess,3.8,(9.8k),Recruitment,Bengaluru +758 other locations
48,Asian Paints,4.0,(9.6k),Chemicals,Mumbai +556 other locations
49,Maruti Suzuki,4.1,(9.5k),Automobile,Gurugram +457 other locations
50,Startek,3.0,(9.5k),BPO,Bengaluru +104 other locations
51,UltraTech Cement,4.1,(9.5k),Building Material,Mumbai +539 other locations
52,Paytm,3.2,(9.4k),FinTech,Noida +425 other locations
53,Bajaj Finance,3.9,(9.2k),NBFC,Pune +999 other locations
54,Shriram Finance,3.9,(9.2k),NBFC,Chennai +1119 other locations
55,Sutherland Global Services,3.4,(9.1k),BPO,Chennai +82 other locations
56,Equitas Small Finance Bank,4.3,(8.9k),Banking,Chennai +486 other locations
57,Wells Fargo,3.6,(8.7k),Financial Services,Bengaluru +27 other locations
58,EXL Service,3.6,(8.6k),Analytics & KPO,Noida +61 other locations
59,Cipla,4.1,(8.6k),Pharma,Mumbai +294 other locations
60,Ericsson,3.9,(8.4k),Telecom,Noida +161 other locations
61,Samsung,3.9,(8.3k),Consumer Electronics & Appliances,Noida +581 other locations
62,Dr. Reddy's,4.0,(8.3k),Pharma,Hyderabad +215 other locations
63,Optum Global Solutions,4.0,(8k),IT Services & Consulting,Hyderabad +69 other locations
64,JSW Steel,3.9,(7.9k),Iron & Steel,Ballari +199 other locations
65,JPMorgan Chase & Co.,3.8,(7.9k),Financial Services,Bengaluru +56 other locations
66,Delhivery,3.8,(7.8k),Logistics,Gurugram +763 other locations
67,ICICI Prudential Life Insurance,3.9,(7.8k),Insurance,Mumbai +511 other locations
68,Hexaware Technologies,3.4,(7.7k),IT Services & Consulting,Chennai +70 other locations
69,Ujjivan Small Finance Bank,4.0,(7.7k),Banking,Bengaluru +544 other locations
70,Sun Pharmaceutical Industries,4.0,(7.6k),Pharma,Vadodara +264 other locations
71,Jana Small Finance Bank,3.7,(7.6k),Banking,Bengaluru +424 other locations
72,HGS,3.7,(7.6k),Emerging Technologies,Bengaluru +122 other locations
73,Zydus Lifesciences,4.0,(7.5k),Pharma,Ahmedabad +181 other locations
74,Amazon Development Centre India,3.8,(7.5k),Internet,Hyderabad +147 other locations
75,Ekart Logistics,3.9,(7.5k),Logistics,Bengaluru +740 other locations
76,Lupin,4.1,(7.4k),Pharma,Pune +204 other locations
77,KPMG India,3.4,(7.4k),Management Consulting,Bengaluru +112 other locations
78,L&T Construction,4.0,(7.3k),Engineering & Construction,Chennai +435 other locations
79,Axis Max Life Insurance,4.0,(7.2k),Insurance,New Delhi +509 other locations
80,Hindustan Unilever,4.2,(7.2k),FMCG,Mumbai +545 other locations
81,ITC,3.9,(7.2k),FMCG,Bengaluru +378 other locations
82,Megha Engineering & Infrastructures,3.9,(7k),Engineering & Construction,Hyderabad +408 other locations
83,Coforge,3.3,(7k),IT Services & Consulting,Noida +103 other locations
84,Tata Projects,4.2,(6.9k),Engineering & Construction,Mumbai +287 other locations
85,Bajaj Life Insurance,3.8,(6.7k),Insurance,Pune +618 other locations
86,Cholamandalam Investment & Finance,3.9,(6.7k),Financial Services,Chennai +868 other locations
87,L&T Technology Services,3.0,(6.6k),IT Services & Consulting,Bengaluru +95 other locations
88,FIS,3.8,(6.6k),FinTech,Pune +59 other locations
89,Oracle,3.3,(6.6k),Software Product,Bengaluru +56 other locations
90,Omega Healthcare,3.8,(6.5k),BPO,Chennai +70 other locations
91,JLL,4.1,(6.4k),Real Estate,Gurugram +87 other locations
92,Muthoot Finance,3.7,(6.4k),NBFC,Bengaluru +793 other locations
93,IIFL Finance,4.0,(6.4k),NBFC,Mumbai +813 other locations
94,eClerx,3.1,(6.3k),IT Services & Consulting,Pune +32 other locations
95,Indian Army,4.7,(6.3k),Defence & Aerospace,New Delhi +360 other locations
96,Piramal Finance,4.2,(6.2k),NBFC,Mumbai +433 other locations
97,DMart,3.9,(6.2k),Retail,Mumbai +255 other locations
98,Virtusa Consulting Services,3.7,(6.1k),IT Services & Consulting,Hyderabad +55 other locations
99,PolicyBazaar,3.8,(6.1k),Internet,Gurugram +156 other locations
100,HCL Group,3.5,(6.1k),IT Services & Consulting,Chennai +97 other locations
101,HSBC Group,3.8,(6.1k),Financial Services,Bengaluru +63 other locations
102,Indiamart Intermesh,3.5,(6k),Internet,Noida +169 other locations
103,SMFG India Credit,3.9,(6k),NBFC,Mumbai +607 other locations
104,Access Healthcare,3.7,(5.9k),BPO,Chennai +62 other locations
105,BigBasket,3.9,(5.9k),Internet,Bengaluru +143 other locations
106,Siemens,4.0,(5.8k),Industrial Automation,Bengaluru +156 other locations
107,ICICI Lombard General Insurance Company,3.5,(5.8k),Insurance,Mumbai +320 other locations
108,GlobalLogic,3.5,(5.8k),IT Services & Consulting,Hyderabad +62 other locations
109,Aurobindo Pharma,4.0,(5.8k),Pharma,Hyderabad +115 other locations
110,Firstsource Solutions,3.5,(5.8k),BPO,Bengaluru +73 other locations
111,Manappuram Finance,3.9,(5.8k),NBFC,Bengaluru +660 other locations
112,Tata Capital,3.9,(5.7k),NBFC,Mumbai +453 other locations
113,Shapoorji Pallonji Group,4.1,(5.7k),Engineering & Construction,Mumbai +189 other locations
114,UST,3.7,(5.7k),IT Services & Consulting,Bengaluru +52 other locations
115,Standard Chartered,3.6,(5.7k),Banking,Chennai +68 other locations
116,Udaan,3.9,(5.7k),Internet,Bengaluru +366 other locations
117,Apollo Hospitals,4.0,(5.7k),Healthcare,Chennai +226 other locations
118,Mahindra Finance,3.9,(5.7k),NBFC,Mumbai +739 other locations
119,Bosch Global Software Technologies,3.7,(5.7k),IT Services & Consulting,Bengaluru +47 other locations
120,Swiggy,3.7,(5.6k),Internet,Bengaluru +238 other locations
121,Ashok Leyland,4.0,(5.6k),Automobile,Chennai +265 other locations
122,Citicorp,3.6,(5.6k),Financial Services,Pune +68 other locations
123,CGI Inc,4.0,(5.4k),IT Services & Consulting,Bengaluru +43 other locations
124,Hero MotoCorp,4.1,(5.4k),Automobile,Gurugram +370 other locations
125,Cyient,3.6,(5.3k),IT Services & Consulting,Hyderabad +49 other locations
126,SBI Cards & Payment Services,3.6,(5.3k),Financial Services,Gurugram +448 other locations
127,BNY,3.6,(5.3k),Financial Services,Pune +27 other locations
128,NTT DATA,3.8,(5.3k),IT Services & Consulting,Bengaluru +81 other locations
129,Kalpataru Projects International,4.2,(5.3k),Engineering & Construction,Mumbai +328 other locations
130,IQVIA,3.7,(5.3k),Clinical Research,Bengaluru +67 other locations
131,Nagarjuna Construction Company,4.0,(5.3k),Engineering & Construction,Hyderabad +299 other locations
132,Schneider Electric,4.1,(5.2k),Industrial Automation,Bengaluru +121 other locations
133,JustDial,3.5,(5.2k),Internet,Noida +235 other locations
134,SBI Life Insurance Company,3.7,(5.2k),Insurance,Mumbai +658 other locations
135,CBRE,4.1,(5.2k),Real Estate,Hyderabad +92 other locations
136,TVS Motor,3.8,(5.1k),Automobile,Hosur +354 other locations
137,Persistent Systems,3.6,(5.1k),IT Services & Consulting,Pune +42 other locations
138,State Bank of India,3.8,(5k),Banking,Mumbai +627 other locations
139,Atos,3.8,(5k),IT Services & Consulting,Pune +49 other locations
140,KEC International,4.0,(5k),Engineering & Construction,Mumbai +317 other locations
141,ITC Infotech,3.8,(4.9k),IT Services & Consulting,Bengaluru +69 other locations
142,vivo,4.1,(4.9k),Consumer Electronics & Appliances,Noida +414 other locations
143,Amdocs,3.6,(4.9k),Software Product,Pune +24 other locations
144,JBM Group,3.9,(4.9k),Auto Components,Gurugram +119 other locations
145,Varun Beverages,4.0,(4.8k),Beverage,New Delhi +384 other locations
146,Ecom Express,4.1,(4.8k),Logistics,Gurugram +779 other locations
147,Eviden,3.6,(4.8k),IT Services & Consulting,Pune +39 other locations
148,Utkarsh Small Finance Bank,3.6,(4.8k),Banking,Varanasi +420 other locations
149,Nagarro,3.9,(4.8k),IT Services & Consulting,Gurugram +48 other locations
150,Randstad,3.7,(4.7k),Recruitment,Hyderabad +369 other locations
151,EY Global Delivery Services ( EY GDS),3.5,(4.7k),IT Services & Consulting,Bengaluru +56 other locations
152,Bosch,4.1,(4.7k),Auto Components,Bengaluru +133 other locations
153,Hewlett Packard Enterprise,4.0,(4.6k),IT Services & Consulting,Bengaluru +104 other locations
154,L&T Finance,3.9,(4.6k),NBFC,Mumbai +653 other locations
155,Havells,3.9,(4.6k),Electrical Equipment,Noida +264 other locations
156,Aditya Birla Fashion and Retail,4.0,(4.6k),Fashion & Textile,Bengaluru +293 other locations
157,Cars24,3.4,(4.6k),Internet,Gurugram +172 other locations
158,Intas Pharmaceuticals,4.1,(4.6k),Pharma,Ahmedabad +150 other locations
159,R1 RCM,3.8,(4.6k),BPO,Hyderabad +49 other locations
160,Mahindra Logistics,3.7,(4.6k),Logistics,Mumbai +233 other locations
161,Tata AIA Life Insurance,3.9,(4.6k),Insurance,Mumbai +454 other locations
162,Home Credit Finance,4.0,(4.6k),NBFC,Gurugram +139 other locations
163,Hetero,3.9,(4.6k),Pharma,Hyderabad +71 other locations
164,Dell,3.8,(4.5k),Consumer Electronics & Appliances,Bengaluru +116 other locations
165,Deutsche Bank,3.8,(4.5k),Banking,Pune +42 other locations
166,Berger Paints,3.7,(4.5k),Chemicals,Kolkata +367 other locations
167,Lenskart,3.3,(4.5k),Internet,New Delhi +252 other locations
168,OPPO,3.9,(4.5k),Consumer Electronics & Appliances,Greater Noida +407 other locations
169,Hyundai Motor India Limited,4.1,(4.4k),Automobile,Chennai +292 other locations
170,Motilal Oswal Financial Services,3.7,(4.4k),Financial Services,Mumbai +169 other locations
171,TeamLease Services,3.9,(4.4k),Recruitment,Bengaluru +404 other locations
172,VE Commercial Vehicles,3.9,(4.4k),Automobile,Indore +180 other locations
173,Thermax Limited,4.2,(4.3k),Industrial Machinery,Pune +259 other locations
174,Jubilant Foods Works,3.7,(4.2k),Hospitality,Noida +267 other locations
175,Macleods Pharmaceuticals,3.7,(4.2k),Pharma,Mumbai +136 other locations
176,Carelon Global Solutions,3.9,(4.2k),IT Services & Consulting,Bengaluru +20 other locations
177,Aakash Educational Services,3.2,(4.2k),Education & Training,New Delhi +249 other locations
178,Bajaj Auto,3.8,(4.2k),Automobile,Pune +324 other locations
179,Jindal Steel Limited,3.9,(4.2k),Iron & Steel,Angul +174 other locations
180,State Street Corporation,3.5,(4.2k),Financial Services,Bengaluru +36 other locations
181,LG Electronics,3.8,(4.2k),Consumer Electronics & Appliances,Pune +301 other locations
182,Hindalco Industries,4.2,(4.2k),Metals & Mining,Sambalpur +131 other locations
183,Kogta Financial India Limited,4.7,(4.1k),NBFC,Jaipur +260 other locations
184,Royal Enfield,4.2,(4.1k),Automobile,Chennai +374 other locations
185,HDFC ERGO General Insurance,4.0,(4.1k),Insurance,Mumbai +327 other locations
186,DCB Bank,3.8,(4.1k),Banking,Mumbai +345 other locations
187,John Deere,4.0,(4.1k),Industrial Machinery,Pune +154 other locations
188,RBL Bank,3.5,(4.1k),Banking,Mumbai +293 other locations
189,Tata Communications,3.9,(4k),Telecom,Pune +102 other locations
190,Publicis Sapient,3.2,(4k),IT Services & Consulting,Bengaluru +47 other locations
191,Cummins,4.3,(4k),Industrial Machinery,Pune +115 other locations
192,Alembic Pharmaceuticals,3.9,(4k),Pharma,Vadodara +188 other locations
193,Bank of America,4.1,(3.9k),Banking,Gurugram +34 other locations
194,Pidilite Industries,4.2,(3.9k),Chemicals,Mumbai +321 other locations
195,Grasim Industries,4.0,(3.9k),Building Material,Bharuch +261 other locations
196,Oyo Rooms,3.0,(3.9k),Internet,Gurugram +121 other locations
197,Aditya Birla Sun Life Insurance,4.0,(3.9k),Insurance,Mumbai +504 other locations
198,Cloudnine Hospital,4.5,(3.9k),Healthcare,Bengaluru +46 other locations
199,American Express,4.1,(3.9k),Financial Services,Gurugram +54 other locations
200,Kyndryl,4.0,(3.9k),IT Services & Consulting,Bengaluru +39 other locations
201,PNB MetLife,3.3,(3.9k),Insurance,New Delhi +433 other locations
202,Subros,3.8,(3.9k),Auto Components,Noida +88 other locations
203,ADP Private Limited,3.9,(3.9k),Software Product,Hyderabad +41 other locations
204,Aditya Birla Capital,3.8,(3.8k),NBFC,Mumbai +350 other locations
205,Altruist Technologies,4.4,(3.8k),BPO,Bengaluru +43 other locations
206,KPIT Technologies,2.8,(3.8k),Software Product,Pune +43 other locations
207,Viatris,4.1,(3.8k),Pharma,Hyderabad +80 other locations
208,Escorts Kubota Limited,4.1,(3.8k),Industrial Machinery,Faridabad +159 other locations
209,XpressBees,4.2,(3.8k),Logistics,Pune +480 other locations
210,PVR INOX,3.9,(3.8k),Media & Entertainment,New Delhi +152 other locations
211,Maersk,3.9,(3.8k),Logistics,Chennai +50 other locations
212,Reliance Communications,4.0,(3.8k),Telecom,Mumbai +465 other locations
213,Birlasoft,3.4,(3.8k),IT Services & Consulting,Pune +50 other locations
214,JK Cement,4.0,(3.8k),Building Material,New Delhi +332 other locations
215,Synechron,3.4,(3.8k),IT Services & Consulting,Pune +33 other locations
216,Glenmark Pharmaceuticals,3.8,(3.7k),Pharma,Mumbai +189 other locations
217,Kotak Mahindra Life Insurance Company,3.5,(3.7k),Insurance,Mumbai +259 other locations
218,Bharat Electronics,4.2,(3.7k),Electronics Manufacturing,Bengaluru +87 other locations
219,Dabur,3.8,(3.7k),FMCG,New Delhi +318 other locations
220,Sodexo,4.0,(3.7k),Facility Management Services,Mumbai +161 other locations
221,PhonePe,4.0,(3.7k),FinTech,Bengaluru +405 other locations
222,Cogent E Services,3.1,(3.7k),BPO,Noida +57 other locations
223,Godrej & Boyce Manufacturing,3.9,(3.7k),Consumer Electronics & Appliances,Mumbai +170 other locations
224,Abbott,4.1,(3.6k),Pharma,Mumbai +214 other locations
225,Blinkit,3.8,(3.6k),Internet,Gurugram +157 other locations
226,Ipca Laboratories,3.8,(3.6k),Pharma,Mumbai +163 other locations
227,Samvardhana Motherson Group,3.7,(3.6k),Auto Components,Noida +94 other locations
228,Aarti Industries,4.1,(3.6k),Agro Chemicals,Bharuch +59 other locations
229,UNO Minda,4.0,(3.6k),Auto Components,Pune +111 other locations
230,Reliance Projects & Property Management Services,4.0,(3.6k),Other,Kolkata +625 other locations
231,Reliance Digital,4.1,(3.6k),Retail,Mumbai +384 other locations
232,ArcelorMittal Nippon Steel India,4.1,(3.6k),Iron & Steel,Surat +88 other locations
233,IGT Solutions,3.2,(3.6k),BPO,New Delhi +48 other locations
234,MRF Tyres,3.6,(3.6k),Auto Components,Chennai +194 other locations
235,Indian Oil Corporation,4.3,(3.5k),Oil & Gas,New Delhi +312 other locations
236,Johnson Controls,3.5,(3.5k),Industrial Automation,Pune +58 other locations
237,"NTT DATA, Inc.",3.9,(3.5k),IT Services & Consulting,Bengaluru +38 other locations
238,Alkem Laboratories,3.9,(3.5k),Pharma,Mumbai +200 other locations
239,[24]7.ai,3.4,(3.5k),Software Product,Bengaluru +36 other locations
240,Honda Motorcycle & Scooter,4.1,(3.5k),Automobile,Gurugram +301 other locations
241,Vishal Mega Mart,3.7,(3.5k),Retail,New Delhi +379 other locations
242,Hindustan Coca Cola Beverages,4.0,(3.5k),Beverage,Bengaluru +263 other locations
243,UBS,3.8,(3.4k),Financial Services,Pune +19 other locations
244,Barclays,3.7,(3.4k),Banking,Pune +38 other locations
245,Bajaj General Insurance Limited,3.7,(3.4k),Insurance,Pune +306 other locations
246,DTDC Express,3.7,(3.4k),Logistics,New Delhi +273 other locations
247,IndusInd Nippon Life Insurance,3.4,(3.4k),Mumbai +493 other locations,N/A
248,ABB,4.0,(3.4k),Industrial Machinery,Bengaluru +108 other locations
249,Ceat Tyres,3.9,(3.4k),Auto Components,Nagpur +141 other locations
250,RSPL Group,4.1,(3.4k),FMCG,Kanpur +258 other locations
251,TVS Credit Services Ltd,4.2,(3.4k),NBFC,Chennai +444 other locations
252,Ford Motor,4.2,(3.4k),Automobile,Chennai +130 other locations
253,NatWest Group,3.9,(3.4k),Banking,Gurugram +29 other locations
254,AGS Health,4.0,(3.4k),Analytics & KPO,Chennai +64 other locations
255,HARMAN,3.8,(3.3k),Consumer Electronics & Appliances,Bengaluru +42 other locations
256,Alstom Transportation,3.7,(3.3k),Engineering & Construction,Bengaluru +80 other locations
257,Croma,3.8,(3.3k),Retail,Mumbai +191 other locations
258,Conduent,3.4,(3.3k),BPO,Bengaluru +36 other locations
259,InterGlobe Aviation,3.4,(3.3k),Aviation,New Delhi +104 other locations
260,Niva Bupa Health Insurance Company,4.0,(3.3k),Insurance,New Delhi +323 other locations
261,Indian Air Force,4.6,(3.3k),Defence & Aerospace,New Delhi +134 other locations
262,Tata Technologies,3.4,(3.3k),Automobile,Pune +57 other locations
263,Tata AIG,4.0,(3.3k),Insurance,Mumbai +262 other locations
264,Canara HSBC Life Insurance,4.1,(3.3k),Insurance,Gurugram +366 other locations
265,GeBBS Healthcare Solutions,3.8,(3.3k),BPO,Mumbai +26 other locations
266,UPL,4.1,(3.2k),Agro Chemicals,Ankleshwar +184 other locations
267,Sagility,3.9,(3.2k),BPO,Bengaluru +28 other locations
268,Tata AutoComp Systems,3.7,(3.2k),Auto Components,Pune +78 other locations
269,Allcargo Logistics,3.8,(3.2k),Logistics,Mumbai +175 other locations
270,PepsiCo,4.0,(3.2k),Food Processing,Hyderabad +280 other locations
271,Max Healthcare,4.0,(3.2k),Healthcare,New Delhi +78 other locations
272,Jindal Stainless,4.2,(3.2k),Iron & Steel,Jajpur +77 other locations
273,Mankind Pharma,3.8,(3.2k),Pharma,New Delhi +247 other locations
274,Titan Company,4.2,(3.2k),Retail,Bengaluru +185 other locations
275,Amazon Transportation Services,4.2,(3.2k),Logistics,Hyderabad +223 other locations
276,Dilip Buildcon,3.9,(3.2k),Engineering & Construction,Bhopal +230 other locations
277,Walmart,3.5,(3.1k),Retail,Bengaluru +91 other locations
278,Varroc Group,3.6,(3.1k),Auto Components,Pune +62 other locations
279,Societe Generale Global Solution Centre,3.6,(3.1k),IT Services & Consulting,Bengaluru +23 other locations
280,S&P Global,4.0,(3.1k),Analytics & KPO,Hyderabad +48 other locations
281,Marpu Foundation,4.9,(3.1k),Non-Profit,Hyderabad +61 other locations
282,MSN Laboratories,3.6,(3.1k),Pharma,Hyderabad +106 other locations
283,Quest Global,3.5,(3.1k),IT Services & Consulting,Bengaluru +49 other locations
284,Afcons Infrastructure,4.2,(3.1k),Engineering & Construction,Mumbai +124 other locations
285,Ola Electric Mobility,3.3,(3.1k),Automobile,Bengaluru +441 other locations
286,Torrent Pharmaceuticals,4.0,(3.1k),Pharma,Ahmedabad +131 other locations
287,ESAF Small Finance Bank,3.6,(3.1k),Banking,Thrissur +458 other locations
288,IDFC FIRST Bharat,4.2,(3.1k),Financial Services,Chennai +443 other locations
289,HDFC Sales,3.9,(3k),Financial Services,Mumbai +351 other locations
290,Future Group,4.2,(3k),Retail,Mumbai +207 other locations
291,Square Yards,3.5,(3k),Internet,Gurugram +51 other locations
292,Tata Elxsi,3.4,(3k),IT Services & Consulting,Bengaluru +31 other locations
293,DS Group,4.1,(3k),FMCG,Noida +287 other locations
294,Zensar Technologies,3.7,(3k),IT Services & Consulting,Pune +29 other locations
295,Bharat Financial Inclusion,3.7,(3k),Financial Services,Hyderabad +509 other locations
296,CMS IT Services,3.1,(3k),IT Services & Consulting,Mumbai +153 other locations
297,Suzlon Group,4.0,(3k),Power,Pune +145 other locations
298,I Process Services,3.8,(3k),Recruitment,Mumbai +405 other locations
299,Tata Electronics,3.9,(3k),Semiconductors,Hosur +59 other locations
300,Indus Towers,3.6,(3k),Telecom,Gurugram +242 other locations
301,ACC,3.9,(3k),Building Material,Mumbai +275 other locations
302,Fujitsu,3.8,(3k),IT Services & Consulting,Pune +41 other locations
303,VVDN Technologies,3.6,(3k),IT Services & Consulting,Gurugram +51 other locations
304,Eternal Limited,3.6,(3k),Internet,Gurugram +219 other locations
305,Zepto,3.6,(2.9k),Internet,Bengaluru +107 other locations
306,IKS Health,3.6,(2.9k),BPO,Mumbai +31 other locations
307,Nokia,4.0,(2.9k),Telecom,Bengaluru +165 other locations
308,Shoppers Stop,4.0,(2.9k),Retail,Mumbai +85 other locations
309,Yazaki,3.9,(2.9k),Auto Components,Pune +94 other locations
310,Apollo Tyres,4.0,(2.9k),Auto Components,Chennai +179 other locations
311,Shree Cement,3.8,(2.9k),Building Material,Beawar +261 other locations
312,Fiserv,2.8,(2.9k),FinTech,Pune +33 other locations
313,Britannia,4.0,(2.8k),FMCG,Pune +306 other locations
314,Landmark Group,3.8,(2.8k),Retail,Bengaluru +175 other locations
315,Dalmia Bharat Cement,3.9,(2.8k),Building Material,Guwahati +256 other locations
316,SRF,4.1,(2.8k),Chemicals,Bharuch +67 other locations
317,UnitedHealth,4.0,(2.8k),Healthcare,Hyderabad +18 other locations
318,Kansai Nerolac Paints,3.8,(2.8k),Chemicals,Mumbai +261 other locations
319,Blue Dart Express Ltd,3.9,(2.8k),Logistics,Mumbai +279 other locations
320,Nestlé,3.7,(2.8k),FMCG,Gurugram +282 other locations
321,Exl India,3.5,(2.8k),Logistics,New Delhi +45 other locations
322,ZS,3.1,(2.8k),Management Consulting,Pune +17 other locations
323,Shell,3.9,(2.8k),Oil & Gas,Bengaluru +91 other locations
324,Exide Industries,3.4,(2.8k),Auto Components,Kolkata +198 other locations
325,Star Health & Allied Insurance,3.5,(2.7k),Insurance,Chennai +336 other locations
326,Physicswallah,3.6,(2.7k),EdTech,Noida +139 other locations
327,KPMG Global Services,3.4,(2.7k),Management Consulting,Bengaluru +38 other locations
328,Flex,3.9,(2.7k),Electronics Manufacturing,Chennai +46 other locations
329,Foxconn,3.8,(2.7k),Electronics Manufacturing,Chennai +64 other locations
330,TVS Supply Chain Solutions,3.8,(2.7k),Logistics,Chennai +155 other locations
331,Micro Labs,3.6,(2.7k),Pharma,Bengaluru +155 other locations
332,ElasticRun,3.6,(2.7k),Logistics,Pune +390 other locations
333,KFintech,3.4,(2.7k),Financial Services,Hyderabad +113 other locations
334,Whitehat jr,3.3,(2.7k),EdTech,Mumbai +48 other locations
335,Capita,3.5,(2.7k),BPO,Pune +32 other locations
336,G4S,4.0,(2.7k),Law Enforcement & Security,Gurugram +165 other locations
337,Ajanta Pharma,3.9,(2.7k),Pharma,Mumbai +118 other locations
338,Blue Star,4.0,(2.7k),Consumer Electronics & Appliances,Mumbai +148 other locations
339,Voltas,4.0,(2.6k),Consumer Electronics & Appliances,Mumbai +203 other locations
340,Care Health Insurance,3.5,(2.6k),Insurance,Gurugram +251 other locations
341,Movate,3.1,(2.6k),IT Services & Consulting,Chennai +38 other locations
342,Gallagher,3.6,(2.6k),Insurance,Bengaluru +29 other locations
343,Sonalika Tractors,3.5,(2.6k),Automobile,Hoshiarpur +195 other locations
344,Photon Interactive,4.1,(2.6k),IT Services & Consulting,Chennai +19 other locations
345,BlackBuck,3.7,(2.6k),Internet,Bengaluru +362 other locations
346,Tata Advanced Systems,3.7,(2.6k),Defence & Aerospace,Bengaluru +58 other locations
347,NoBroker,3.0,(2.6k),Internet,Bengaluru +46 other locations
348,DBS Bank,3.7,(2.6k),Banking,Hyderabad +179 other locations
349,Adani Power,3.7,(2.6k),Power,Mundra +129 other locations
350,ACT Fibernet,3.8,(2.6k),Telecom,Hyderabad +57 other locations
351,Domino's Pizza,3.9,(2.6k),Hospitality,New Delhi +252 other locations
352,Foundever,3.4,(2.6k),BPO,Hyderabad +21 other locations
353,Fortis Healthcare,4.0,(2.6k),Healthcare,New Delhi +69 other locations
354,IntouchCX,2.7,(2.6k),BPO,Hyderabad +22 other locations
355,Himalaya Wellness,3.9,(2.6k),Pharma,Bengaluru +243 other locations
356,BT Group,3.8,(2.6k),Telecom,Gurugram +26 other locations
357,Laurus Labs,4.3,(2.6k),Pharma,Visakhapatnam +34 other locations
358,Sahrudaya Healthcare (Medicover Hospitals),4.4,(2.6k),Healthcare,Hyderabad +46 other locations
359,V-Mart,4.0,(2.5k),Retail,Gurugram +286 other locations
360,JCB,3.8,(2.5k),Industrial Machinery,Pune +111 other locations
361,Alldigi Tech,3.9,(2.5k),BPO,Chennai +36 other locations
362,Sterlite Technologies,3.8,(2.5k),Hardware & Networking,Chhatrapati Sambhajinagar +100 other locations
