,name,rating,reviews,ctype,loc
1350,Wipro Consumer Care & Lighting,3.7,(793),FMCG,Bengaluru +118 other locations
1351,Franklin Templeton Investments,3.8,(793),Financial Services,Hyderabad +33 other locations
1352,Maveric Systems,3.3,(793),IT Services & Consulting,Chennai +11 other locations
1353,Careernet,3.5,(793),Recruitment,Bengaluru +24 other locations
1354,Ask Automotive,4.2,(792),Auto Components,Gurugram +29 other locations
1355,Denave,3.4,(791),Marketing & Advertising,Noida +71 other locations
1356,Action Construction Equipment,3.7,(792),Industrial Machinery,Faridabad +60 other locations
1357,Microtek International,3.7,(791),Consumer Electronics & Appliances,New Delhi +119 other locations
1358,Jai Balaji Group,3.2,(790),Iron & Steel,Durgapur +41 other locations
1359,Indo Autotech,3.9,(790),Auto Components,Faridabad +34 other locations
1360,Indo Autotech,3.9,(790),Auto Components,Faridabad +34 other locations
1361,Petpooja,3.9,(790),Software Product,Ahmedabad +77 other locations
1362,Hilti,3.4,(788),Industrial Machinery,Gurugram +48 other locations
1363,Cigniti Technologies,3.8,(788),IT Services & Consulting,Hyderabad +9 other locations
1364,Travel Food Services Ltd,4.1,(787),Hospitality,Mumbai +36 other locations
1365,NTT,3.9,(785),IT Services & Consulting,Mumbai +43 other locations
1366,Axtria,2.8,(784),Software Product,Gurugram +8 other locations
1367,Progressive Infotech,3.3,(784),IT Services & Consulting,Noida +68 other locations
1368,Edubridge Learning,3.9,(784),EdTech,Mumbai +63 other locations
1369,First Advantage,3.4,(783),Recruitment,Bengaluru +12 other locations
1370,Allied Digital Services,3.1,(783),IT Services & Consulting,Mumbai +58 other locations
1371,Toyo Engineering,4.0,(782),Engineering & Construction,Mumbai +46 other locations
1372,Pratap Technocrats,3.7,(781),Telecom,Pune +121 other locations
1373,Skill Lync,3.1,(780),EdTech,Chennai +17 other locations
1374,Creative Synergies Group,3.9,(780),IT Services & Consulting,Bengaluru +9 other locations
1375,Hitachi Digital Services,3.5,(779),IT Services & Consulting,Hyderabad +16 other locations
1376,People Tech Group,2.3,(779),IT Services & Consulting,Hyderabad +13 other locations
1377,Ksb Pumps,3.7,(778),Industrial Machinery,Pune +39 other locations
1378,JM Financial,3.8,(778),Financial Services,Mumbai +73 other locations
1379,Reliance Smart,4.1,(777),Retail,Hyderabad +251 other locations
1380,Fleetguard Filters Private Limited,4.3,(777),Auto Components,Pune +85 other locations
1381,Lea Associates South Asia,4.3,(777),Engineering & Construction,New Delhi +142 other locations
1382,Forever Living Products,4.3,(776),Fitness & Wellness,Mumbai +95 other locations
1383,Lenovo,4.0,(775),Consumer Electronics & Appliances,Bengaluru +83 other locations
1384,Forvia Hella,3.8,(775),Auto Components,Pune +32 other locations
1385,Wapcos,3.2,(774),Engineering & Construction,New Delhi +150 other locations
1386,Neurealm,3.4,(774),IT Services & Consulting,Chennai +18 other locations
1387,ManipalCigna Health Insurance,3.8,(773),Insurance,Mumbai +135 other locations
1388,Bses Rajdhani Power,3.8,(773),Power,New Delhi +22 other locations
1389,JioStar,3.5,(773),Media & Entertainment,Mumbai +42 other locations
1390,Wabtec,3.9,(773),Auto Components,Bengaluru +32 other locations
1391,Fidelity International,3.6,(772),Financial Services,Gurugram +14 other locations
1392,Amadeus,3.7,(772),Software Product,Bengaluru +14 other locations
1393,Quatrro Business Support Services,3.3,(772),Recruitment,Gurugram +14 other locations
1394,Alivus Life Sciences,3.8,(771),Pharma,Ankleshwar +22 other locations
1395,Bunge India,3.9,(772),Food Processing,Sahibzada Ajit Singh Nagar +71 other locations
1396,Central Industrial Security Force,4.3,(771),Law Enforcement & Security,New Delhi +89 other locations
1397,VA Tech Wabag,3.8,(771),Waste Management,Chennai +54 other locations
1398,Creambell,3.9,(771),Food Processing,New Delhi +105 other locations
1399,BNP Paribas India Solutions,3.6,(768),IT Services & Consulting,Mumbai +10 other locations
1400,Celebal Technologies,3.0,(766),IT Services & Consulting,Jaipur +24 other locations
1401,Assystem,3.3,(766),Engineering & Construction,Chennai +68 other locations
1402,Orion Edutech,3.3,(764),EdTech,Kolkata +115 other locations
1403,Times Internet,3.5,(764),Internet,Noida +24 other locations
1404,Padget Electronics,3.7,(763),Electronics Manufacturing,Noida +17 other locations
1405,Protiviti,3.0,(763),Management Consulting,Gurugram +28 other locations
1406,Zee Entertainment Enterprises,3.4,(762),Media & Entertainment,Mumbai +35 other locations
1407,Wipro Infrastructure Engineering,3.7,(762),Industrial Machinery,Bengaluru +37 other locations
1408,Aurigo Software Technologies,4.6,(762),Software Product,Bengaluru +6 other locations
1409,McDermott International,4.2,(761),Engineering & Construction,Chennai +33 other locations
1410,National Informatics Centre,3.9,(761),Government,New Delhi +77 other locations
1411,TO THE NEW,3.6,(760),IT Services & Consulting,Noida +20 other locations
1412,CMS Computers Limited (INDIA),3.7,(759),IT Services & Consulting,New Delhi +78 other locations
1413,HSBC Software Development,4.1,(759),Software Product,Pune +8 other locations
1414,Better.com,3.0,(758),Financial Services,Gurugram +9 other locations
1415,Brane Enterprises,2.1,(757),Software Product,Hyderabad +12 other locations
1416,Steel Authority Of India,4.1,(757),Iron & Steel,Bokaro +54 other locations
1417,India Japan Lighting,4.1,(757),Auto Components,Chennai +29 other locations
1418,Exicom,4.0,(757),Semiconductors,Gurugram +31 other locations
1419,Ameriprise Financial,3.7,(757),Financial Services,Gurugram +11 other locations
1420,Samsung E&A,4.0,(756),Engineering & Construction,Noida +47 other locations
1421,UnitedLex,2.7,(756),Analytics & KPO,New Delhi +13 other locations
1422,Veradigm,3.7,(757),Software Product,Pune +9 other locations
1423,Vaaman Engineers,3.7,(756),Engineering & Construction,Jharsuguda +46 other locations
1424,Neuland Laboratories,4.0,(755),Pharma,Hyderabad +7 other locations
1425,Sharda Motor Industries,3.7,(756),Auto Components,Chennai +27 other locations
1426,BCD Travel,4.3,(754),Travel & Tourism,Bengaluru +11 other locations
1427,Transrail Lighting,4.0,(754),Engineering & Construction,Mumbai +99 other locations
1428,Mindsprint,3.5,(755),IT Services & Consulting,Chennai +10 other locations
1429,Finolex Cables,3.7,(754),Electrical Equipment,Pune +76 other locations
1430,Dunzo,3.5,(753),Internet,Bengaluru +21 other locations
1431,LifeCell International,3.3,(752),Biotechnology,Chennai +76 other locations
1432,Mott MacDonald,4.0,(751),Management Consulting,Mumbai +49 other locations
1433,1 India Family Mart,4.6,(750),Retail,New Delhi +98 other locations
1434,CADD Centre Training Services,3.9,(751),Education & Training,Chennai +132 other locations
1435,Religare,3.6,(750),Financial Services,New Delhi +98 other locations
1436,RITES,3.9,(750),Engineering & Construction,Gurugram +90 other locations
1437,India Cements,3.8,(749),Building Material,Chennai +93 other locations
1438,Integreon,3.2,(750),BPO,Mumbai +12 other locations
1439,ESL Steel,3.8,(748),Iron & Steel,Bokaro +25 other locations
1440,ESL Steel,3.8,(748),Iron & Steel,Bokaro +25 other locations
1441,Stellantis,3.4,(747),Automobile,Chennai +17 other locations
1442,EMERSON PROCESS MANAGEMENT,4.1,(747),Industrial Automation,Pune +31 other locations
1443,Bitwise Solutions,3.7,(747),IT Services & Consulting,Pune +9 other locations
1444,Hapag-Lloyd,3.8,(747),Ports & Shipping,Chennai +16 other locations
1445,Primus Global Technologies,3.7,(747),IT Services & Consulting,Bengaluru +27 other locations
1446,Sterling Tools,4.5,(747),Auto Components,Faridabad +16 other locations
1447,Writer Information Management Services,3.1,(747),BPO,Mumbai +70 other locations
1448,Google Operations Center,3.5,(746),BPO,Hyderabad +14 other locations
1449,Greenply,3.8,(747),Building Material,Kolkata +97 other locations
1450,Isuzu Motors,4.1,(745),Automobile,Chennai +39 other locations
1451,Smollan Group,3.9,(744),Marketing & Advertising,Mumbai +144 other locations
1452,Boeing,3.8,(743),Aviation,Bengaluru +13 other locations
1453,Volkswagen Group Digital Solutions [India],3.9,(743),IT Services & Consulting,Pune +15 other locations
1454,Care Hospital,4.1,(742),Healthcare,Hyderabad +43 other locations
1455,SLK Global Services,4.0,(740),BPO,Bengaluru +9 other locations
1456,Electrosteel Casting,3.6,(739),Building Material,Kolkata +30 other locations
1457,Deepak Nitrite,3.9,(739),Chemicals,Vadodara +20 other locations
1458,Rackspace,3.7,(739),IT Services & Consulting,Gurugram +15 other locations
1459,Galfar,3.9,(739),Engineering & Construction,Muscat +39 other locations
1460,LG Soft India,2.7,(738),IT Services & Consulting,Bengaluru +15 other locations
1461,ASG Eye Hospital,3.4,(737),Healthcare,Jaipur +76 other locations
1462,OLX India,3.7,(736),Internet,Gurugram +57 other locations
1463,Sun Life Financial,3.8,(737),Financial Services,Gurugram +12 other locations
1464,Mswipe Technologies,3.2,(736),FinTech,Mumbai +97 other locations
1465,Evision Technoserve,4.8,(735),IT Services & Consulting,Pune +44 other locations
1466,Delta Electronics,3.8,(735),Electronics Manufacturing,Bengaluru +45 other locations
1467,Redcliffe Labs,4.0,(738),Healthcare,New Delhi +83 other locations
1468,The Akshaya Patra Foundation,4.4,(734),Non-Profit,Bengaluru +68 other locations
1469,Eugia Pharma Specialities,4.0,(736),Pharma,Hyderabad +18 other locations
1470,GirnarSoft,3.6,(733),IT Services & Consulting,Gurugram +53 other locations
1471,Trianz,3.6,(733),IT Services & Consulting,Hyderabad +9 other locations
1472,BDO India LLP,3.2,(732),Accounting & Auditing,Mumbai +36 other locations
1473,Indusind Marketing & Financial Services,3.7,(731),Financial Services,Chennai +274 other locations
1474,B. G. Shirke Construction Technology,4.2,(734),Engineering & Construction,Pune +26 other locations
1475,V-Trans,3.8,(731),Logistics,Mumbai +94 other locations
1476,Sterlite Power,4.1,(731),Power,New Delhi +84 other locations
1477,McKinsey & Company,3.8,(731),Management Consulting,Gurugram +25 other locations
1478,JSW Energy,4.1,(729),Power,Mumbai +79 other locations
1479,Eastman Auto and Power Limited,3.9,(728),Electronics Manufacturing,Gurugram +72 other locations
1480,Eastman Auto and Power Limited,3.9,(728),Electronics Manufacturing,Gurugram +72 other locations
1481,Home First Finance Company India,3.5,(727),NBFC,Mumbai +105 other locations
1482,JSW Energy,4.1,(727),Power,Mumbai +79 other locations
1483,Adidas,3.9,(726),Fashion & Textile,Gurugram +69 other locations
1484,Koch Business Solutions,3.1,(726),IT Services & Consulting,Bengaluru +11 other locations
1485,R.V.R. PROJECTS,3.9,(726),Engineering & Construction,Hyderabad +68 other locations
1486,Vertex Customer Solutions,3.5,(725),IT Services & Consulting,Chennai +33 other locations
